security_ids
RELIANCE.NS
TCS.NS
HDFCBANK.NS
ICICIBANK.NS
INFY.NS
BHARTIARTL.NS
SBIN.NS
HINDUNILVR.NS
LICI.NS
ITC.NS
LT.NS
BAJFINANCE.NS
HCLTECH.NS
KOTAKBANK.NS
MARUTI.NS
SUNPHARMA.NS
ADANIENT.NS
AXISBANK.NS
TITAN.NS
NTPC.NS
ONGC.NS
ASIANPAINT.NS
TATAMOTORS.NS
ULTRACEMCO.NS
DMART.NS
BAJAJFINSV.NS
ADANIGREEN.NS
ADANIPORTS.NS
COALINDIA.NS
NESTLEIND.NS
WIPRO.NS
POWERGRID.NS
M&M.NS
BAJAJ-AUTO.NS
IOC.NS
ADANIPOWER.NS
JSWSTEEL.NS
HAL.NS
DLF.NS
JIOFIN.NS
TATASTEEL.NS
VBL.NS
IRFC.NS
LTIM.NS
SIEMENS.NS
SBILIFE.NS
GRASIM.NS
PIDILITIND.NS
HINDZINC.NS
BEL.NS
HDFCLIFE.NS
PFC.NS
ZOMATO.NS
BANKBARODA.NS
HINDALCO.NS
TECHM.NS
TRENT.NS
INDIGO.NS
BRITANNIA.NS
INDUSINDBK.NS
PNB.NS
GODREJCP.NS
ADANIENSOL.NS
TATAPOWER.NS
BPCL.NS
RECLTD.NS
CIPLA.NS
GAIL.NS
ABB.NS
AMBUJACEM.NS
EICHERMOT.NS
LODHA.NS
VEDL.NS
TATACONSUM.NS
ATGL.NS
IOB.NS
UNIONBANK.NS
DRREDDY.NS
DIVISLAB.NS
CHOLAFIN.NS
SHREECEM.NS
DABUR.NS
TVSMOTOR.NS
CANBK.NS
BAJAJHLDNG.NS
HAVELLS.NS
APOLLOHOSP.NS
SHRIRAMFIN.NS
MANKIND.NS
HEROMOTOCO.NS
IDBI.NS
TORNTPHARM.NS
ZYDUSLIFE.NS
UNITDSPR.NS
JSWENERGY.NS
ICICIPRULI.NS
JINDALSTEL.NS
NHPC.NS
ICICIGI.NS
POLYCAB.NS
BOSCHLTD.NS
MOTHERSON.NS
HDFCAMC.NS
BHEL.NS
SRF.NS
MAXHEALTH.NS
INDHOTEL.NS
IRCTC.NS
CGPOWER.NS
SBICARD.NS
IDEA.NS
TIINDIA.NS
MARICO.NS
COLPAL.NS
YESBANK.NS
NAUKRI.NS
BERGEPAINT.NS
LUPIN.NS
CUMMINSIND.NS
SOLARINDS.NS
INDUSTOWER.NS
INDIANB.NS
HINDPETRO.NS
AUROPHARMA.NS
NMDC.NS
GODREJPROP.NS
IDFCFIRSTB.NS
ALKEM.NS
PERSISTENT.NS
GICRE.NS
MUTHOOTFIN.NS
UCOBANK.NS
BANKINDIA.NS
SUZLON.NS
MRF.NS
PIIND.NS
PGHH.NS
LTTS.NS
PATANJALI.NS
BHARATFORG.NS
ABBOTINDIA.NS
OFSS.NS
SUPREMEIND.NS
CONCOR.NS
TORNTPOWER.NS
ASTRAL.NS
LINDEINDIA.NS
TATACOMM.NS
ASHOKLEY.NS
OBEROIRLTY.NS
TATAELXSI.NS
OIL.NS
SAIL.NS
JSL.NS
CENTRALBK.NS
SCHAEFFLER.NS
BALKRISIND.NS
JSWINFRA.NS
RVNL.NS
NYKAA.NS
MPHASIS.NS
ABCAPITAL.NS
GMRINFRA.NS
UBL.NS
PRESTIGE.NS
TATATECH.NS
PHOENIXLTD.NS
AWL.NS
AUBANK.NS
BHARTIHEXA.NS
ACC.NS
POLICYBZR.NS
APLAPOLLO.NS
MAZDOCK.NS
SJVN.NS
KPITTECH.NS
PAGEIND.NS
THERMAX.NS
UPL.NS
LTF.NS
DALBHARAT.NS
DIXON.NS
UNOMINDA.NS
MAHABANK.NS
KALYANKJIL.NS
IREDA.NS
PAYTM.NS
NIACL.NS
PETRONET.NS
FEDERALBNK.NS
COFORGE.NS
FLUOROCHEM.NS
SONACOMS.NS
PSB.NS
3MINDIA.NS
AIAENG.NS
GUJGASLTD.NS
POONAWALLA.NS
M&MFIN.NS
VOLTAS.NS
BANDHANBNK.NS
HONAUT.NS
COROMANDEL.NS
MFSL.NS
GLAXO.NS
JUBLFOOD.NS
ESCORTS.NS
CRISIL.NS
STARHEALTH.NS
METROBRAND.NS
IRB.NS
LICHSGFIN.NS
BIOCON.NS
MRPL.NS
DELHIVERY.NS
JKCEMENT.NS
FORTIS.NS
DEEPAKNTR.NS
MEDANTA.NS
HUDCO.NS
APOLLOTYRE.NS
NAM-INDIA.NS
NLCINDIA.NS
GLAND.NS
LLOYDSME.NS
IGL.NS
IPCALAB.NS
BDL.NS
ZFCVINDIA.NS
KEI.NS
SYNGENE.NS
MSUMI.NS
ITI.NS
EXIDEIND.NS
TATAINVEST.NS
KPRMILL.NS
MANYAVAR.NS
TATACHEM.NS
AJANTPHARM.NS
GODREJIND.NS
ANGELONE.NS
ENDURANCE.NS
SUNTV.NS
NH.NS
POWERINDIA.NS
NATIONALUM.NS
CREDITACC.NS
GLENMARK.NS
JBCHEPHARM.NS
KANSAINER.NS
BAYERCROP.NS
SUNDRMFAST.NS
HINDCOPPER.NS
HATSUN.NS
APARINDS.NS
KIOCL.NS
ISEC.NS
GRINDWELL.NS
360ONE.NS
BLUESTARCO.NS
MOTILALOFS.NS
AARTIIND.NS
TIMKEN.NS
SKFINDIA.NS
CYIENT.NS
RATNAMANI.NS
CARBORUNIV.NS
ABFRL.NS
RAMCOCEM.NS
LAURUSLABS.NS
RELAXO.NS
RADICO.NS
EMAMILTD.NS
FIVESTAR.NS
EIHOTEL.NS
GILLETTE.NS
COCHINSHIP.NS
IIFL.NS
BRIGADE.NS
PEL.NS
ASTERDM.NS
SONATSOFTW.NS
KAJARIACER.NS
TRIDENT.NS
LALPATHLAB.NS
JBMA.NS
CHOLAHLDNG.NS
BSOFT.NS
ZEEL.NS
PNBHOUSING.NS
PFIZER.NS
SUMICHEM.NS
BATAINDIA.NS
NBCC.NS
SANOFI.NS
IDFC.NS
IRCON.NS
ATUL.NS
CROMPTON.NS
GSPL.NS
ELGIEQUIP.NS
CIEINDIA.NS
CASTROLIND.NS
CGCL.NS
GET&D.NS
WHIRLPOOL.NS
APLLTD.NS
CELLO.NS
PPLPHARMA.NS
RRKABEL.NS
VINATIORGA.NS
TTML.NS
MCX.NS
NAVINFLUOR.NS
