SNo,ScripCode,NameOfCompany
170,544162,Bharti Hexacom Limited
171,500410,ACC Ltd
172,543390,PB Fintech Limited
173,533758,APL Apollo Tubes Limited
174,543237,Mazagon Dock Shipbuilders Limited
175,533206,SJVN LIMITED
176,542651,KPIT Technologies Ltd
177,532827,Page Industries Ltd.
178,500411,Thermax Ltd.
179,512070,UPL Limited
180,533519,L&T Finance Limited
181,542216,DALMIA BHARAT LIMITED
182,540699,Dixon Technologies (India) Limited
183,532539,UNO Minda Limited
184,532525,Bank of maharashtra
185,543278,Kalyan Jewellers India Limited
186,544026,Indian Renewable Energy Development Agency Limited
187,543396,One 97 Communications Limited
188,540769,The New India Assurance Company Limited
189,532522,PETRONET LNG LTD.
190,500469,Federal Bank Ltd.
191,532541,COFORGE LIMITED
192,542812,Gujarat Fluorochemicals Limited
193,543300,Sona BLW Precision Forgings Limited
194,533295,PUNJAB & SIND BANK
195,523395,3M India Ltd.
196,532683,AIA Engineering Ltd.
197,539336,Gujarat Gas Limited
198,524000,POONAWALLA FINCORP LIMITED
199,532720,Mahindra & Mahindra Financial Services Limited
200,500575,"Voltas Ltd.,"
201,541153,Bandhan Bank Limited
202,517174,Honeywell Automation India Ltd.
203,506395,Coromandel International Limited
204,500271,Max Financial Services Limited
205,500660,GlaxoSmithkline Pharmaceuticals Ltd.
206,533155,Jubilant Foodworks Limited
207,500495,Escorts Kubota Limited
208,500092,CRISIL Ltd.
209,543412,Star Health and Allied Insurance Company Limited
210,543426,Metro Brands Limited
211,532947,IRB Infrastructure Developers Limited
212,500253,Lic Housing Finance Ltd.
213,532523,Biocon Ltd.
214,500109,Mangalore Refinery & Petrochemicals
215,543529,Delhivery Limited
216,532644,J.K. CEMENT LTD
217,532843,Fortis Healthcare Ltd
218,506401,Deepak Nitrite Limited
219,543654,Global Health Limited
220,540530,Housing &Urban Development Corporation Ltd.
221,500877,Apollo Tyres Ltd
222,540767,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED
223,513683,NLC India Limited
224,543245, Gland Pharma Limited
225,512455,Lloyds Metals and Energy Limited
226,532514,Indraprashtha Gas Ltd.
227,524494,Ipca Laboratories Ltd.
