SNo,ScripCode,NameOfCompany
727,532772,DCB Bank Limited
728,500032,Bajaj Hindusthan Sugar Limited
729,533333,Fineotex Chemical Limited
730,544055,Muthoot Microfin Limited
731,526947,La Opala RG Ltd.
732,535602,Sharda Motor Industries Ltd
733,534600,JTL INDUSTRIES LIMITED
734,534976,V-Mart Retail Limited
735,533162,Hathway Cable & Datacom Limited
736,544167,JNK India Limited
737,520057,JTEKT India Limited
738,500250,L.g.Balkrishnan & Bros. Ltd.
739,531209,Nucleus Software Exports Ltd
740,532924,Kolte-Patil Developers Ltd
741,506655,"Sudarshan Chemical Indus. Ltd.,"
742,523323,Kovai Medical Center & Hospital Ltd
743,500243,Kirloskar Industries Ltd
744,523319,"Balmer Lawrie & Co. Ltd.,"
745,500307,"Nirlon Limited,"
746,539542,LUX Industries Limited
747,500655,GARWARE HI-TECH FILMS LIMITED
748,532528,Datamatics Global Services Limited
749,543989,Sai Silks (Kalamandir) Limited
750,542665,Neogen Chemicals Limited
751,508486,Hawkins Cooker Ltd.
752,500404,"Sunflag Iron & Steel Co. Ltd.,"
753,543311,India Pesticides Limited
754,533158,Thangamayil Jewellery Limited
755,532848,Delta Corp Limited
756,543600,Harsha Engineers International Limited
757,532899,Kaveri Seed Company Ltd
758,532839,Dish TV India Limited
759,517168,"Subros Ltd.,"
760,505710,"Grauer & Weil (India) Ltd.,"
761,532368,BRIGHTCOM GROUP LIMITED
762,524735,Hikal Ltd.
763,538666,Sharda Cropchem Limited
764,519091,"Tasty Bite Eatables Ltd.,"
765,543950,YATHARTH HOSPITAL & TRAUMA CARE SERVICES LIMITED
766,517522,Rajratan Global Wire Ltd
767,530549,Shilpa Medicare Ltd.
768,527001,Ashapura Minechem Ltd
769,539883,Pilani Investment And Industries Corporation Limited
770,522215,HLE GLASCOAT LIMITED
771,542851,Gensol Engineering Limited
772,544088,Medi Assist Healthcare Services Limited
773,505872,WPIL Ltd
774,543650,DCX Systems Limited
775,543333,CarTrade Tech Limited
776,532054,KDDL Ltd
777,500020,"Bombay Dyeing & Mfg. Co. Ltd.,"
778,544020,ESAF Small Finance Bank Ltd
779,543929,HMA Agro Industries Limited
780,543667,INOX GREEN ENERGY SERVICES LIMITED
781,543896,Avalon Technologies Limited
782,506690,"Unichem Laboratories Ltd.,"
783,509243,"TVS Srichakra Ltd.,"
784,501455,Greaves Cotton Ltd.
785,508989,Navneet Education Limited
786,544030,Flair Writing Industries Limited
787,539056,IMAGICAAWORLD ENTERTAINMENT LIMITED
788,532748,Prime Focus Limited
789,532612,Indoco Remedies Ltd.
790,533229,BAJAJ CONSUMER CARE LIMITED
791,502090,Sagar Cements Ltd
792,542905,Hindware Home Innovation Limited
793,539871,Thyrocare Technologies Limited
794,500097,Dalmia Bharat Sugar and Industries Ltd
795,543932,IDEAFORGE TECHNOLOGY LIMITED
796,540879,Apollo Micro Systems Limited
797,500148,Uflex Limited
798,543321,Tatva Chintan Pharma Chem Limited
799,543528,Venus Pipes & Tubes Limited
800,513097,"Shivalik Bimetal Controls Ltd.,"
801,543985,ZAGGLE PREPAID OCEAN SERVICES LIMITED
802,543714,LANDMARK CARS LIMITED
803,500041,"Bannari Amman Sugars Ltd.,"
804,509079,Gufic BioSciences Ltd.
805,505010,"Automotive Axles Ltd.,"
806,540701,Dishman Carbogen Amcis Limited
807,540797,Shalby Limited
808,523385,Nilkamal Limited
809,512529,Sequent Scientific Limited
810,523398,Johnson Controls-Hitachi Air Conditioning India Ltd.
811,533047,Indian Metals & Ferro Alloys Limited
812,506022,"Prakash Industries Ltd.,"
813,534804,CARE Ratings Limited
814,534758,Cigniti Technologies Ltd
815,524051,"Polyplex Corporation Ltd.,"
816,544066,SUNDARAM-CLAYTON LIMITED
817,544107,BLS E-Services Limited
818,538562,Skipper Limited
819,531266,V.S.T.Tillers Tractors Ltd.
820,532945,SEPC LIMITED
821,530367,NRB Bearings Ltd.
822,543490,GMR Power and Urban Infra Limited
823,500235,Kalyani Steels Ltd
824,541163,Sandhar Technologies Limited
825,526521,Sanghi Industries Ltd.
826,540768,Mahindra Logistics Limited
827,500168,"Goodyear India Ltd.,"
828,530305,Piccadily Agro Industries ltd.
829,523716,Ashiana Housing Limited
830,544067,INNOVA CAPTAB LIMITED
831,532768,FIEM INDUSTRIES LIMITED
832,526797,Greenply Industries Ltd
833,542460,The Anup Engineering Ltd
834,540642,Salasar Techno Engineering Limited
835,533080,Mold-Tek Packaging Limited
836,544133,EXICOM TELE-SYSTEMS LIMITED
837,503960,"Bharat Bijlee Ltd.,"
838,532796,Lumax Auto Technologies Ltd.
839,517015,"Vindhya Telelinks Ltd.,"
840,530655,Goodluck India Limited
841,526951,Stylam Industries Limited
842,532479,ISMT Limited
843,543367,Paras Defence and Space Technologies Limited
844,500407,Swaraj Engines Ltd.
845,543812,DIVGI TORQTRANSFER SYSTEMS LIMITED
846,543591,DREAMFOLKS SERVICES LIMITED
847,532440,MPS Limited
848,532406,Avantel Limited
849,524667,Savita Oil Technologies Limited
850,519552,Heritage Foods Limited
851,541403,Dollar Industries Limited
852,517300,Gujarat Industries Power Co. Ltd
853,532808,Pearl Global Industries Limited
854,507878,"Unitech Ltd.,"
855,531761,APOLLO PIPES LIMITED
856,535322,Repco Home Finance Limited
857,533344,PTC India Financial Services Limited
858,531201,Shilchar Technologies Ltd.
859,533137,DEN Networks Limited
860,539889,Parag Milk Foods Limited
861,532430,BF Utilities Ltd.
862,523261,Venky's (India) ltd.
863,526807,Seamec Ltd
864,526829,Confidence Petroleum India Limited
865,539404,SATIN CREDITCARE NETWORK LIMITED
866,540544,PSP Projects Limited
867,500227,Jindal Poly Films Ltd.
868,532395,AXISCADES TECHNOLOGIES LIMITED
869,539199,SG FINSERVE LIMITED
870,506222,Styrenix Performance Materials Limited
871,530135,Optiemus Infracom Limited
872,505412,"Wendt (India) Ltd.,"
873,544142,Shipping Corporation of India Land and Assets Limited
874,543434,Supriya Lifescience Limited
875,500191,HMT Limited
876,543399,Tarsons Products Limited
877,526227,Filatex India Ltd.
878,524019,Kingfa Science & Technology (India) Ltd
879,531508,Eveready Industries India Ltd.
880,543689,Uniparts India Limited
881,500460,"Mukand Ltd.,"
882,532022,Filatex Fashions Ltd
883,500201,India Glycols Ltd
884,523694,Apcotex Industries Limited
885,524164,IOL Chemicals & Pharmaceuticals Ltd
886,540724,Prataap Snacks Limited
887,539450,S H Kelkar and Company Limited
888,542774,MUFIN GREEN FINANCE LIMITED
889,531112,BALU FORGE INDUSTRIES LIMITED
890,541974,Manorama Industries Limited
891,540774,IFGL Refractories Limited
892,543983,EMS LIMITED
893,500052,"Bhansali Engineering Polymers Ltd.,"
894,532960,Dhani Services Limited
895,532983,RPG Life Sciences Limited
896,522064,HONDA INDIA POWER PRODUCTS LIMITED
897,532268,ACCELYA SOLUTIONS INDIA LIMITED
898,511742,UGRO CAPITAL LIMITED
899,543923,IKIO Lighting Limited
900,524091,CARYSIL LIMITED
901,506480,GOCL Corporation Limited
902,543386,Fino Payments Bank Limited
903,541700,TCNS Clothing Co. Limited
904,544029,Gandhar Oil Refinery (India) Limited
905,541336,IndoStar Capital Finance Limited
906,543974,VISHNU PRAKASH R PUNGLIA LIMITED
907,544161,D P ABHUSHAN LIMITED
908,509820,HUHTAMAKI INDIA LIMITED
909,505192,SML ISUZU LIMITED
910,543992,YATRA ONLINE LIMITED
911,500186,Hindustan Oil Exploration Co. Ltd.
912,500288,Morepen Laboratories Ltd.
913,539301,Arvind SmartSpaces Limited
914,543283,BARBEQUE-NATION HOSPITALITY LIMITED
915,542919,Artemis Medicare Services Limited
916,500412,"Thirumalai Chemicals Ltd.,"
917,503811,"Siyaram Silk Mills Ltd.,"
918,539678,Quick Heal Technologies Limited
919,506235,Alembic  Ltd
920,533104,Globus Spirits Limited
921,531431,Shakti Pumps (India) Ltd.
922,511431,Vakrangee Limited
923,514167,Ganesha Ecosphere Limited
924,544042,Bajel Projects Limited
925,513519,PITTI ENGINEERING LIMITED
926,522249,Mayur Uniquoters ltd.
927,523539,"Precision Wires India ltd.,"
928,517206,"Lumax Industries Ltd.,"
929,500108,Mahanagar Telephone Nigam Ltd.
930,512267,Media Matrix Worldwide Ltd.
931,543620,INSOLATION ENERGY LIMITED
932,519156,"Vadilal Industries Ltd.,"
933,534809,PC JEWELLER LIMITED
934,530843,Cupid Limited
935,522241,M.M.Forgings Ltd.
936,500150,Foseco India Ltd
937,519183,ADF Foods Limited.
938,532705,Jagran Prakashan Limited
939,531548,Somany Ceramics Limited
940,507514,Som Distilleries & Breweries Ltd.
941,544119,Rashi Peripherals Limited
942,539636,Precision Camshafts Limited
943,502330,ANDHRA PAPER LIMITED
944,533263,Orient Green Power Company Limited
945,506879,Gujarat Themis Biosyn Ltd.
946,532663,Sasken Technologies Limited
947,500314,"Oriental Hotels Ltd.,"
948,530555,Paramount Communications Ltd.
949,503101,Marathon Nextgen Realty Ltd
950,506854,"TANFAC Industries Ltd.,"
951,531717,Vidhi Specialty Food Ingredients Limited
952,500672,Novartis India Limited.
953,530239,Suven Life Sciences Ltd.
954,533138,ASTEC LIFESCIENCES LIMITED
955,514234,Sangam (India) Ltd
956,542333,RPSG VENTURES LIMITED
957,540710,Capacit'e Infraprojects Limited
958,533552,RUPA & COMPANY LIMITED
959,539799,Bharat Wire Ropes Limited
960,502450,"Seshasayee Paper & Boards Ltd.,"
961,543328,Krsnaa Diagnostics Limited
962,543996,Updater Services Limited
963,532775,GTL Infrastructure Limited
964,543331,Meghmani Organics Limited
965,509675,HIL Limited
966,513349,Ajmera Realty & Infra India Limited
967,544004,IRM ENERGY LIMITED
968,511034,"Jindal Drilling & Industries Ltd.,"
969,543547,DDEV PLASTIKS INDUSTRIES LIMITED
970,500068,Disa India Ltd.
971,531179,Arman Financial Services Limited
972,500365,WELSPUN SPECIALTY SOLUTIONS LIMITED
973,516072,Vishnu Chemicals Limited
974,540602,GTPL Hathway Limited
975,513269,Man Industries (India) Ltd
976,533121,EXPLEO SOLUTIONS LIMITED
977,506642,"Sadhana Nitrochem Ltd.,"
978,532834,Camlin Fine Sciences Ltd
979,517544,Centum Electronics Ltd
980,507747,"TTK Healthcare Ltd.,"
981,543419,Shriram Properties Limited
982,530131,Udaipur Cement Works Limited
983,533303,BF Investment Limited
984,539686,K.P. Energy Limited
985,543389,Sigachi Industries Limited
986,526881,63 Moons Technologies Limited
987,505744,Federal-Mogul Goetze (India) Ltd
988,543686,Sirca Paints India Limited
989,523301,TCPL Packaging Limited
990,517041,Ador Welding Ltd.
991,524820,Panama Petrochem Ltd.
992,500215,Agro Tech Foods Ltd
993,544150,KP GREEN ENGINEERING LIMITED
994,544117,Signpost India Limited
995,526173,Andrew Yule & Company Ltd
996,531637,PRAVEG LIMITED
997,501423,Shaily Engineering Plastics Ltd.
998,543977,Rishabh Instruments Limited
999,539309,Rama Steel Tubes Limited
1000,523445,Reliance Industrial Infrastructure
1001,541167,YASHO INDUSTRIES LIMITED
1002,532348,Subex  Ltd
1003,539841,Lancer Container Lines Limited
1004,543972,Aeroflex Industries Limited
1005,532369,Ramco Industries Ltd
1006,531426,Tamil Nadu Newsprint And Papers Ltd
1007,543387,S.J.S. Enterprises Limited
1008,532698,Nitin Spinners Ltd.
1009,508906,Everest Industries Ltd.
1010,530199,Themis Medicare Ltd.
1011,506109,Genesys International Corporation Ltd.
1012,532366,PNB Gilts Ltd
1013,533267,CANTABIL RETAIL INDIA LIMITED
1014,500193,HLV LIMITED
1015,526729,Goldiam International Ltd.
1016,523618,"Dredging Corporation of India Ltd.,"
1017,512229,Veritas (India) Limited
1018,523127,"EIH Associated Hotels Ltd.,"
1019,540124,G N A Axles Limited
1020,513228,"Pennar Industries Ltd.,"
1021,539594,Mishtann Foods Limited
1022,532407,MOSCHIP TECHNOLOGIES LIMITED
1023,532967,KIRI INDUSTRIES LIMITED
1024,532390,Taj GVK Hotels & Resorts Ltd.
1025,544144,Popular Vehicles and Services Limited
1026,540136,HPL Electric & Power Limited
1027,512068,Deccan Gold Mines Ltd.
1028,543279,Suryoday Small Finance Bank Limited
1029,511551,Monarch Networth Capital Limited
1030,532285,Geojit Financial Services Limited
1031,502157,"Mangalam Cement Ltd.,"
1032,500333,"Pix Transmissions Ltd.,"
1033,532708,GVK Power & Infrastructure Ltd
1034,534392,Vardhman Special Steels Ltd
1035,532150,Indraprastha Medical Corporation Lt
1036,514448,"Jyoti Resins & Adhesives Ltd,"
1037,543411,HI-TECH PIPES LIMITED
1038,544095,EPACK Durable Limited
1039,539660,BEST AGROLIFE LIMITED
1040,504112,Nelco Ltd
1041,539725,Gokul Agro Resources Ltd
1042,532309,GE Power India Limited
1043,532851,Insecticides India Ltd.
1044,505160,"Talbros Automotive Components Ltd.,"
1045,524332,BCL INDUSTRIES LIMITED
1046,505800,Rane Holdings Ltd.
1047,504212,"Universal Cables Ltd.,"
1048,532742,PAUSHAK LIMITED (formerly known as Darshak Limited)
1049,517421,Butterfly Gandhimathi Appliances Limited
1050,540776,5paisa Capital Limited
1051,543288,Deep Industries Limited
1052,543514,Veranda Learning Solutions Limited
1053,526247,Premier Explosives Ltd.
1054,500117,"DCW Ltd.,"
1055,531719,Bhagiradha Chemicals and Industries
1056,540425,Shankara Building Products Limited
1057,532256,Nalwa Sons Investment Ltd
1058,532880,OMAXE LIMITED
1059,544120,Capital Small Finance Bank Ltd
1060,543712,Abans Holdings Limited
1061,533168,Rossell India Limited
1062,538970,WARDWIZARD INNOVATIONS AND MOBILITY LIMITED
1063,500119,"Dhampur Sugar Mills Ltd.,"
1064,533156,Vascon Engineers Limited
1065,543517,Hariom Pipe Industries Limited
1066,543252,Fairchem Organics Limited
1067,544053,Motisons Jewellers Limited
1068,512008,EFC (I) LIMITED
1069,543273,Knowledge Marine & Engineering Works Limited
1070,517380,Igarashi Motors India Ltd.
1071,500147,JOHN COCKERILL INDIA LIMITED
1072,532345,ALLCARGO GATI LIMITED
1073,500414,Timex Group India Ltd
1074,500304,"NIIT Ltd.,"
1075,532684,Everest Kanto Cylinders Ltd.
1076,503031,Peninsula Land Limited
1077,532529,New Delhi Television Limited
1078,532610,Dwarikesh Sugar Industries Ltd.
1079,531357,MERCURY EV-TECH LIMITED
1080,532719,B L Kashyap and Sons Ltd
1081,533302,Kalyani Investment Company Limited
1082,531795,Atul Auto Limited
1083,543260,STOVE KRAFT LIMITED
1084,508814,Cosmo First Limited
1085,539837,RAGHAV PRODUCTIVITY ENHANCERS LIMITED
1086,513250,"Jyoti Structures Ltd.,"
1087,532486,Pokarna Ltd.
1088,514043,"Himatsingka Seide Ltd.,"
1089,523369,"DCM Shriram Industries Ltd.,"
1090,540717,Polo Queen Industrial and Fintech Limited
1091,522295,Control Print (India) Ltd.
1092,540048,S.P. Apparels Limited
1093,502180,"Shree Digvijay Cement Co. Ltd.,"
1094,504000,"Elpro International Ltd.,"
1095,526650,Tourism Finance Corpn. Of India Ltd
1096,539332,Navkar Corporation Limited
1097,532937,Kuantum Papers Limited
1098,544054,Suraj Estate Developers Limited
1099,532475,Aptech Ltd.
1100,532729,Uttam Sugar Mills Ltd
1101,517498,Websol Energy System Limited
1102,521248,Kitex Garmenets Ltd.
1103,544058,Credo Brands Marketing Limited
1104,543971,Bondada Engineering Limited
1105,500199,IG Petrochemicals Ltd
1106,509874,Shalimar Paints Ltd.
1107,543954,Allcargo Terminals Limited
1108,524520,KMC Speciality Hospitals India Limited
1109,526783,Dr.Agarwals Eye Hospital Ltd.
1110,520008,RICO Auto Industries Ltd.
1111,543995,MANOJ VAIBHAV GEMS 'N' JEWELLERS LIMITED
1112,531147,Alicon Castalloy Limited
1113,541540,SOLARA ACTIVE PHARMA SCIENCES LIMITED
1114,540311,JITF INFRALOGISTICS LIMITED
1115,543266,Heranba Industries Limited
1116,544131,GPT Healthcare Limited
1117,532884,Refex Industries Limited
1118,530011,Mangalore Chemicals & Fertilisers L
1119,524709,NACL Industries Limited
1120,532240,India Nippon Electricals Ltd
1121,538836,Monte Carlo Fashions Limited
1122,531921,Agarwal Industrial Corporation Limited
1123,533306,SUMMIT SECURITIES LTD.
1124,519105,AVT Natural Products Ltd.
1125,543599,Ksolves India Limited
1126,543254,Antony Waste Handling Cell Limited
1127,544136,R K Swamy Limited
1128,523207,Kokuyo Camlin Ltd
1129,506618,Punjab Chemicals and Crop Protection Ltd.
1130,514360,K&R RAIL ENGINEERING LIMITED
1131,532864,Nelcast Limited
1132,504741,"Indian Hume Pipe Co. Ltd.,"
1133,542669,BMW INDUSTRIES LIMITED
1134,539607,Blue Cloud Softech Solutions Limited
1135,541276,HARDWYN INDIA LIMITED
1136,524109,Kabra Extrusion Technik Ltd
1137,532515,T.V.Today Network Limited
1138,505720,"Hercules Hoists Ltd.,"
1139,501150,Centrum Capital Limited
1140,540061,Bigbloc Construction Limited
1141,505400,Texmaco Infrastructure & Holdings Ltd
1142,531847,Asian Star Co. Ltd.
1143,535136,NIBE LIMITED
1144,530699,Raj Rayon Industries Limited
1145,500207,"Indo Rama Synthetics (India) Ltd.,"
1146,543263,SMC Global Securities Limited
1147,532616,Xchanging Solutions Limited
1148,520073,RACL Geartech Limited
1149,533320,Jubilant Industries Limited
1150,513517,Steelcast Ltd.
1151,540649,AVADH SUGAR & ENERGY LIMITED
1152,506194,Arihant Superstructures Limited
1153,505526,DOLAT ALGOTECH LIMITED
1154,532925,Kaushalya Infrastructure Development Corporation Ltd
1155,520066,"Jay Bharat Maruti Ltd.,"
1156,522281,Ram Ratna Wires Ltd.
1157,524669,Hester Biosciences Ltd
1158,530759,Sterling Tools Ltd.
1159,506197,Bliss GVS Pharma Limited
1160,532661,Rane (Madras)  Ltd.
1161,524774,NGL Fine Chem Ltd.
1162,541967,SKY GOLD LIMITED
1163,531633,Lincoln Pharmaceuticals ltd.
1164,532457,Gulshan Polyols Ltd.
1165,539201,SATIA INDUSTRIES LIMITED
1166,532485,Balmer Lawrie Investments Ltd.
1167,531092,OM INFRA LIMITED
1168,517500,Roto Pumps Ltd.
1169,524470,Syncom Formulations (India) Ltd.
1170,523736,Dhunseri Ventures Limited
1171,532815,SMS Pharmaceuticals Ltd
1172,532051,Swelect Energy Systems Limited
1173,531859,ORIENTAL RAIL INFRASTRUCTURE LIMITED
1174,524280,"Kopran Ltd.,"
1175,517536,Onward Technologies Ltd.
1176,500268,"Manali Petrochemicals Ltd.,"
1177,532741,Kamdhenu Limited
1178,540145,Valiant Organics Limited
1179,507488,G.M. Breweries Ltd.
1180,539018,Beekay Steel Industries Ltd.
1181,511076,Sat Industries Ltd
1182,533259,Sastasundar Ventures Limited
1183,540704,Matrimony.com Limited
1184,543218,SURATWWALA BUSINESS GROUP LIMITED
1185,506390,Heubach Colorants India Limited
1186,534748,Steel Exchange India Ltd.
1187,522257,Rajoo Engineers Ltd.
1188,543955,Transindia Real Estate Limited
1189,526407,HAMPTON SKY REALTY LIMITED
1190,511768,Master Trust Ltd.
1191,500078,ORIENTAL AROMATICS LIMITED
1192,539436,Coffee Day Enterprises Limited
1193,520086,Sical Logistics Limited
1194,532867,V2 Retail Limited
1195,530307,Chaman Lal Setia Exports Ltd.
1196,511676,GIC Housing Finance Ltd.
1197,539337,WAAREE TECHNOLOGIES LIMITED
1198,500153,"Ganesh Benzoplast Ltd.,"
1199,532687,Repro India Ltd.
1200,506808,TUTICORIN ALKALI CHEMICALS AND FERTILIZERS LIMITED
1201,522163,Diamond Power Infrastructure Limited
1202,515043,Saint-Gobain Sekurit India Ltd.
1203,532700,Entertainment Network (India) Ltd
1204,537259,Suyog Telematics Limited
1205,543747,Kamdhenu Ventures Limited
1206,504341,RAVINDRA ENERGY LIMITED
1207,544149,KRYSTAL INTEGRATED SERVICES LIMITED
1208,506685,"Ultramarine & Pigments Ltd.,"
1209,502175,Saurashtra Cement Limited
1210,506852,Primo Chemicals Limited
1211,544135,Mukka Proteins Limited
1212,524743,Fischer Chemic Ltd.
1213,522101,Kilburn Engineering Ltd
1214,509438,Benares Hotels Ltd
1215,538635,SNOWMAN LOGISTICS LIMITED
1216,530475,Tinna Rubber and Infrastructure Limited
1217,516030,PAKKA LIMITED
1218,504132,Permanent Magnets Ltd.
1219,533146,D-Link (India) Ltd
1220,543240,Likhitha Infrastructure Limited
1221,539561,REMEDIUM LIFECARE LIMITED
1222,543284,EKI Energy Services Limited
1223,500650,"Excell Industries Ltd.,"
1224,532633,Allsec Technologies Ltd.
1225,507753,TGV SRAAC LIMITED
1226,532370,Ramco Systems Ltd
1227,543451,AGS TRANSACT TECHNOLOGIES LIMITED
1228,544134,Platinum Industries Limited
1229,532923,RENAISSANCE GLOBAL LIMITED
1230,539042,AGI Infra Limited
1231,532323,Shiva Cement Ltd.
1232,522073,The Hi-Tech Gears Limited
1233,500296,"Nahar Spinning Mills Ltd.,"
1234,543329,Windlas Biotech Limited
1235,531449,GRM Overseas Ltd.
1236,523850,Axtel Industries Ltd.
1237,504036,"Hind Rectifiers Ltd.,"
1238,500429,Uniphos Enterprises Limited.
1239,530079,Faze Three Ltd.
1240,511413,CREST VENTURES LIMITED
1241,539221,Sportking India Ltd.
1242,530355,ASIAN ENERGY SERVICES LTD
1243,530879,CAPITAL INDIA FINANCE LIMITED
1244,539921,Shanti Educational Initiatives Limited
1245,506687,"Transpek Industry Ltd.,"
1246,505036,"Automobile Corpn. of Goa Ltd.,"
1247,508807,IST Limited
1248,526987,Urja Global Limited
1249,533477,Enkei wheels (India) Limited
1250,532944,OnMobile Global Ltd.
1251,543638,Tracxn Technologies Limited
1252,524370,Bodal Chemicals Ltd
1253,543230,Advait Infratech Limited
1254,532650,MSP STEEL & POWER LTD.
1255,543644,InfoBeans Technologies Limited
1256,543829,Global Surfaces Limited
1257,524394,Vimta Labs Ltd.
